E N D Resistivity
810423 2192314 62 0.89126
810423 2192314 64 0.89126
810421 2192313 0 1e+13
810421 2192313 2 0.21311
810421 2192313 4 0.21311
810421 2192313 6 0.21311
810421 2192313 8 0.21311
810421 2192313 10 0.21311
810421 2192313 12 0.20945
810421 2192313 14 0.20945
810421 2192313 16 0.20945
810421 2192313 18 0.20945
810421 2192313 20 0.20945
810421 2192313 22 0.21643
810421 2192313 24 0.21643
810421 2192313 26 0.21643
810421 2192313 28 0.21643
810421 2192313 30 0.21643
810421 2192313 32 0.24347
810421 2192313 34 0.24347
810421 2192313 36 0.24347
810421 2192313 38 0.24347
810421 2192313 40 0.24347
810421 2192313 42 0.31235
810421 2192313 44 0.31235
810421 2192313 46 0.31235
810421 2192313 48 0.31235
810421 2192313 50 0.31235
810421 2192313 52 0.49751
810421 2192313 54 0.49751
810421 2192313 56 0.49751
810421 2192313 58 0.49751
810421 2192313 60 0.49751
810421 2192313 62 0.89126
810421 2192313 64 0.89126
810420 2192311 0 1e+13
810420 2192311 2 0.21311
810420 2192311 4 0.21311
810420 2192311 6 0.21311
810420 2192311 8 0.21311
810420 2192311 10 0.21311
810420 2192311 12 0.20945
810420 2192311 14 0.20945
810420 2192311 16 0.20945
810420 2192311 18 0.20945
810420 2192311 20 0.20945
810420 2192311 22 0.21643
810420 2192311 24 0.21643
810420 2192311 26 0.21643
810420 2192311 28 0.21643
810420 2192311 30 0.21643
810420 2192311 32 0.24347
810420 2192311 34 0.24347
810420 2192311 36 0.24347
810420 2192311 38 0.24347
810420 2192311 40 0.24347
810420 2192311 42 0.31235
810420 2192311 44 0.31235
810420 2192311 46 0.31235
810420 2192311 48 0.31235
810420 2192311 50 0.31235
810420 2192311 52 0.49751
810420 2192311 54 0.49751
810420 2192311 56 0.49751
810420 2192311 58 0.49751
810420 2192311 60 0.49751
810420 2192311 62 0.89126
810420 2192311 64 0.89126
810418 2192310 0 1e+13
810418 2192310 2 0.21311
810418 2192310 4 0.21311
810418 2192310 6 0.21311
810418 2192310 8 0.21311
810418 2192310 10 0.21311
810418 2192310 12 0.20945
810418 2192310 14 0.20945
810418 2192310 16 0.20945
810418 2192310 18 0.20945
810418 2192310 20 0.20945
810418 2192310 22 0.21643
810418 2192310 24 0.21643
810418 2192310 26 0.21643
810418 2192310 28 0.21643
810418 2192310 30 0.21643
810418 2192310 32 0.24347
810418 2192310 34 0.24347
810418 2192310 36 0.24347
810418 2192310 38 0.24347
810418 2192310 40 0.24347
810418 2192310 42 0.31235
810418 2192310 44 0.31235
810418 2192310 46 0.31235
810418 2192310 48 0.31235
810418 2192310 50 0.31235
810418 2192310 52 0.49751
810418 2192310 54 0.49751
810418 2192310 56 0.49751
810418 2192310 58 0.49751
810418 2192310 60 0.49751
810418 2192310 62 0.89126
810418 2192310 64 0.89126
810417 2192309 0 1e+13
810417 2192309 2 0.21311
810417 2192309 4 0.21311
810417 2192309 6 0.21311
810417 2192309 8 0.21311
810417 2192309 10 0.21311
810417 2192309 12 0.20945
810417 2192309 14 0.20945
810417 2192309 16 0.20945
810417 2192309 18 0.20945
810417 2192309 20 0.20945
810417 2192309 22 0.21643
810417 2192309 24 0.21643
810417 2192309 26 0.21643
810417 2192309 28 0.21643
810417 2192309 30 0.21643
810417 2192309 32 0.24347
810417 2192309 34 0.24347
810417 2192309 36 0.24347
810417 2192309 38 0.24347
810417 2192309 40 0.24347
810417 2192309 42 0.31235
810417 2192309 44 0.31235
810417 2192309 46 0.31235
810417 2192309 48 0.31235
810417 2192309 50 0.31235
810417 2192309 52 0.49751
810417 2192309 54 0.49751
810417 2192309 56 0.49751
810417 2192309 58 0.49751
810417 2192309 60 0.49751
810417 2192309 62 0.89126
810417 2192309 64 0.89126
810415 2192308 0 0.18507
810415 2192308 2 0.21311
810415 2192308 4 0.21311
810415 2192308 6 0.21311
810415 2192308 8 0.21311
810415 2192308 10 0.21311
810415 2192308 12 0.20945
810415 2192308 14 0.20945
810415 2192308 16 0.20945
810415 2192308 18 0.20945
810415 2192308 20 0.20945
810415 2192308 22 0.21643
810415 2192308 24 0.21643
810415 2192308 26 0.21643
810415 2192308 28 0.21643
810415 2192308 30 0.21643
810415 2192308 32 0.24347
810415 2192308 34 0.24347
810415 2192308 36 0.24347
810415 2192308 38 0.24347
810415 2192308 40 0.24347
810415 2192308 42 0.31235
810415 2192308 44 0.31235
810415 2192308 46 0.31235
810415 2192308 48 0.31235
810415 2192308 50 0.31235
810415 2192308 52 0.49751
810415 2192308 54 0.49751
810415 2192308 56 0.49751
810415 2192308 58 0.49751
810415 2192308 60 0.49751
810415 2192308 62 0.89126
810415 2192308 64 0.89126
810413 2192306 0 0.18507
810413 2192306 2 0.18507
810413 2192306 4 0.18507
810413 2192306 6 0.18507
810413 2192306 8 0.18507
810413 2192306 10 0.18507
810413 2192306 12 0.18692
810413 2192306 14 0.18692
810413 2192306 16 0.18692
810413 2192306 18 0.18692
810413 2192306 20 0.18692
810413 2192306 22 0.20259
810413 2192306 24 0.20259
810413 2192306 26 0.20259
810413 2192306 28 0.20259
810413 2192306 30 0.20259
810413 2192306 32 0.23522
810413 2192306 34 0.23522
810413 2192306 36 0.23522
810413 2192306 38 0.23522
810413 2192306 40 0.23522
810413 2192306 42 0.30671
810413 2192306 44 0.30671
810413 2192306 46 0.30671
810413 2192306 48 0.30671
810413 2192306 50 0.30671
810413 2192306 52 0.49751
810413 2192306 54 0.49751
810413 2192306 56 0.49751
810413 2192306 58 0.49751
810413 2192306 60 0.49751
810413 2192306 62 0.89126
810413 2192306 64 0.89126
810412 2192305 0 0.18507
810412 2192305 2 0.18507
810412 2192305 4 0.18507
810412 2192305 6 0.18507
810412 2192305 8 0.18507
810412 2192305 10 0.18507
810412 2192305 12 0.18692
810412 2192305 14 0.18692
810412 2192305 16 0.18692
810412 2192305 18 0.18692
810412 2192305 20 0.18692
810412 2192305 22 0.20259
810412 2192305 24 0.20259
810412 2192305 26 0.20259
810412 2192305 28 0.20259
810412 2192305 30 0.20259
810412 2192305 32 0.23522
810412 2192305 34 0.23522
810412 2192305 36 0.23522
810412 2192305 38 0.23522
810412 2192305 40 0.23522
810412 2192305 42 0.30671
810412 2192305 44 0.30671
810412 2192305 46 0.30671
810412 2192305 48 0.30671
810412 2192305 50 0.30671
810412 2192305 52 0.49751
810412 2192305 54 0.49751
810412 2192305 56 0.49751
810412 2192305 58 0.49751
810412 2192305 60 0.49751
810412 2192305 62 0.89126
810412 2192305 64 0.89126
810410 2192304 0 0.18507
810410 2192304 2 0.18507
810410 2192304 4 0.18507
810410 2192304 6 0.18507
810410 2192304 8 0.18507
810410 2192304 10 0.18507
810410 2192304 12 0.18692
810410 2192304 14 0.18692
810410 2192304 16 0.18692
810410 2192304 18 0.18692
810410 2192304 20 0.18692
810410 2192304 22 0.20259
810410 2192304 24 0.20259
810410 2192304 26 0.20259
810410 2192304 28 0.20259
810410 2192304 30 0.20259
810410 2192304 32 0.23522
810410 2192304 34 0.23522
810410 2192304 36 0.23522
810410 2192304 38 0.23522
810410 2192304 40 0.23522
810410 2192304 42 0.30671
810410 2192304 44 0.30671
810410 2192304 46 0.30671
810410 2192304 48 0.30671
810410 2192304 50 0.30671
810410 2192304 52 0.44766
810410 2192304 54 0.44766
810410 2192304 56 0.44766
810410 2192304 58 0.44766
810410 2192304 60 0.44766
810410 2192304 62 0.76611
810410 2192304 64 0.76611
810409 2192302 0 0.18507
810409 2192302 2 0.18507
810409 2192302 4 0.18507
810409 2192302 6 0.18507
810409 2192302 8 0.18507
810409 2192302 10 0.18507
810409 2192302 12 0.18692
810409 2192302 14 0.18692
810409 2192302 16 0.18692
